Заголовок,Страница,Район,Дата,Цена
Сдам 2к квартиру на М.Говорова,https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-na-m-govorova-IDATJ7U.html#9e03164cd8, Киевский,Вчера 15:51,9 000 грн.
2 комнатная квартира Спиридоновская/Кузнечная,https://www.olx.ua/obyavlenie/2-komnatnaya-kvartira-spiridonovskaya-kuznechnaya-IDATIKV.html#9e03164cd8, Приморский,Вчера 15:50,10 000 грн.
"1-комн. на Таирова\ЖК""21 Жемчужина""",https://www.olx.ua/obyavlenie/1-komn-na-tairova-zhk-21-zhemchuzhina-IDATIXI.html#9e03164cd8, Киевский,Вчера 15:50,7 000 грн.
"Сдается 2-х комн. кв-ра в Аркадии, жк""Новая Аркадия""",https://www.olx.ua/obyavlenie/sdaetsya-2-h-komn-kv-ra-v-arkadii-zhk-novaya-arkadiya-IDy4ByI.html#9e03164cd8, Приморский,Вчера 15:49,"18 481 грн.

Договорная"
Сдам 2к квартиру,https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-IDATIre.html#9e03164cd8, Суворовский,Вчера 15:47,"5 000 грн.

Договорная"
Сдам квартиру район Аркадия от Хозяина,https://www.olx.ua/obyavlenie/sdam-kvartiru-rayon-arkadiya-ot-hozyaina-IDATIv6.html#9e03164cd8, Приморский,Вчера 15:44,"600 грн.

Договорная"
Сдам комнату в коммуне рядом с Центром,https://www.olx.ua/obyavlenie/sdam-komnatu-v-kommune-ryadom-s-tsentrom-IDATHDC.html#9e03164cd8, Приморский,Вчера 15:40,4 000 грн.
"1 комн., квартира на ВЫСОЦКОГО, 4500 грн",https://www.olx.ua/obyavlenie/1-komn-kvartira-na-vysotskogo-4500-grn-IDATHpa.html#9e03164cd8, Суворовский,Вчера 15:34,4 500 грн.
Сдам 1 ком квартиру на 10 й Фонтана пляж Чайка ЖК 23 я Жемчужина,https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-na-10-y-fontana-plyazh-chayka-zhk-23-ya-zhemchuzhina-IDATH3I.html#9e03164cd8, Киевский,Вчера 15:27,13 201 грн.
Центр Одессы 1 комнатная,https://www.olx.ua/obyavlenie/tsentr-odessy-1-komnatnaya-IDARScQ.html#f049b59c4c;promoted, Приморский,3  июль,10 508 грн.
Сдам 2х ком.квартиру на 3й Ст.Люстдорфской дорги.,https://www.olx.ua/obyavlenie/sdam-2h-kom-kvartiru-na-3y-st-lyustdorfskoy-dorgi-IDAPZ9S.html#f049b59c4c;promoted, Киевский,4  июль,6 500 грн.
Сдам 1-ую в ЖМ Радужный. Свободна!,https://www.olx.ua/obyavlenie/sdam-1-uyu-v-zhm-raduzhnyy-svobodna-IDAkhwO.html#f049b59c4c;promoted, Киевский,Вчера 15:03,7 000 грн.
"Спальня\студия, Литературная, долгосрочно, с видом на море, от хозяина",https://www.olx.ua/obyavlenie/spalnya-studiya-literaturnaya-dolgosrochno-s-vidom-na-more-ot-hozyaina-IDAMGL6.html#f049b59c4c;promoted, Приморский,Вчера 12:33,13 000 грн.
Сдам маленькую комнату в коммуне (от хозяина) в центре Одессы,https://www.olx.ua/obyavlenie/sdam-malenkuyu-komnatu-v-kommune-ot-hozyaina-v-tsentre-odessy-IDs3iwi.html#f049b59c4c;promoted, Приморский,11  июнь,3 900 грн.
Комната в 3 комнатной квартире 6 ст. Большого Фонтана Приморский район,https://www.olx.ua/obyavlenie/komnata-v-3-komnatnoy-kvartire-6-st-bolshogo-fontana-primorskiy-rayon-IDASmaQ.html#f049b59c4c, Приморский,Вчера 15:11,2 500 грн.
Сдам 1 ком квартиру в ЖК 5 я Жемчужина,https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-v-zhk-5-ya-zhemchuzhina-IDATFxi.html#f049b59c4c, Киевский,Вчера 15:10,7 500 грн.
"Сдам 6500 гр  1 комн квартиру на Таирова,Королева,Южный р.",https://www.olx.ua/obyavlenie/sdam-6500-gr-1-komn-kvartiru-na-tairova-koroleva-yuzhnyy-r-IDAvm2I.html#f049b59c4c, Киевский,Вчера 15:09,6 500 грн.
1к кв с видом на море в жк Руслан и Людмила/8 Фонтана,https://www.olx.ua/obyavlenie/1k-kv-s-vidom-na-more-v-zhk-ruslan-i-lyudmila-8-fontana-IDATFrY.html#f049b59c4c, Приморский,Вчера 15:09,26 402 грн.
СДАМ СВОЮ квартиру на фонтане,https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-na-fontane-IDAIWtY.html#f049b59c4c;promoted, Приморский,Вчера 15:06,12 600 грн.
Сдам 1-ую в ЖМ Радужный. Свободна!,https://www.olx.ua/obyavlenie/sdam-1-uyu-v-zhm-raduzhnyy-svobodna-IDAkhwO.html#f049b59c4c;promoted, Киевский,Вчера 15:03,7 000 грн.
Сдам комнату МАРСЕЛЬСКАЯ.,https://www.olx.ua/obyavlenie/sdam-komnatu-marselskaya-IDATEum.html#f049b59c4c, Суворовский,Вчера 15:01,3 000 грн.
Сдам свою квартиру на ул. Ришельевская,https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-na-ul-rishelevskaya-IDATEea.html#f049b59c4c, Киевский,Вчера 14:54,6 000 грн.
1комн квартира в 17 Жемчужине/Асташкина,https://www.olx.ua/obyavlenie/1komn-kvartira-v-17-zhemchuzhine-astashkina-IDATDSK.html#f049b59c4c, Приморский,Вчера 14:50,10 561 грн.
Шампанский пер.сдам 1 комн.квартиру с евроремонтом.,https://www.olx.ua/obyavlenie/shampanskiy-per-sdam-1-komn-kvartiru-s-evroremontom-IDsJk38.html#f049b59c4c, Приморский,Вчера 14:50,21 121 грн.
ул. Асташкина/пл.Льва Толстого 16 Жемчужина,https://www.olx.ua/obyavlenie/ul-astashkina-pl-lva-tolstogo-16-zhemchuzhina-IDAMGjs.html#f049b59c4c;promoted, Приморский,Вчера 14:49,13 201 грн.
Сдам 3-х комнатную квартиру на Французском бульваре.,https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-kvartiru-na-frantsuzskom-bulvare-IDsDi7s.html#f049b59c4c, Приморский,Вчера 14:48,18 439 грн.
Центр.Новосельского Долгосрочно,https://www.olx.ua/obyavlenie/tsentr-novoselskogo-dolgosrochno-IDzeM9O.html#f049b59c4c, Приморский,Вчера 14:46,6 500 грн.
"Сдам 3 комнатну квартиру, хозяин! Длительно",https://www.olx.ua/obyavlenie/sdam-3-komnatnu-kvartiru-hozyain-dlitelno-IDALgIG.html#f049b59c4c, Киевский,Вчера 14:46,10 000 грн.
Сдам двухкомнатную квартиру Говорова/Кленовая/Пионерская,https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-govorova-klenovaya-pionerskaya-IDATDkG.html#f049b59c4c, Приморский,Вчера 14:44,11 000 грн.
3к квартира проспект Шевченко «Бочки»,https://www.olx.ua/obyavlenie/3k-kvartira-prospekt-shevchenko-bochki-IDATDbU.html#f049b59c4c, Приморский,Вчера 14:42,19 801 грн.
"Сдам 1-комн.кв-ру Балковская/ЖК"" Балковский"", 10/22эт.дома",https://www.olx.ua/obyavlenie/sdam-1-komn-kv-ru-balkovskaya-zhk-balkovskiy-10-22et-doma-IDATDb2.html#f049b59c4c, Приморский,Вчера 14:42,8 000 грн.
Сдам в Аренду 3х Лидирсовский бульвар,https://www.olx.ua/obyavlenie/sdam-v-arendu-3h-lidirsovskiy-bulvar-IDzGKN6.html#f049b59c4c, Приморский,Вчера 14:37,31 682 грн.
1к квартира с видом на море в Гагарин Плаза/ Аркадия,https://www.olx.ua/obyavlenie/1k-kvartira-s-vidom-na-more-v-gagarin-plaza-arkadiya-IDATCjg.html#f049b59c4c, Приморский,Вчера 14:32,21 121 грн.
"Сдается своя, новая квартира в Аркадии.Долгосрочная аренда",https://www.olx.ua/obyavlenie/sdaetsya-svoya-novaya-kvartira-v-arkadii-dolgosrochnaya-arenda-IDATBSk.html#f049b59c4c, Киевский,Вчера 14:30,15 841 грн.
1к кв в 16 Жемчужине/Л.Толстого на любой срок,https://www.olx.ua/obyavlenie/1k-kv-v-16-zhemchuzhine-l-tolstogo-na-lyuboy-srok-IDATBQU.html#f049b59c4c, Приморский,Вчера 14:27,11 881 грн.
Сдам 3 ком кв-ру на 4 ст.Фонтана/Юр.академия. можно на лето.,https://www.olx.ua/obyavlenie/sdam-3-kom-kv-ru-na-4-st-fontana-yur-akademiya-mozhno-na-leto-IDATBBq.html#f049b59c4c, Приморский,Вчера 14:24,12 000 грн.
Квартира у моря в Совиньоне на длительно с парковкой!6500 грн!,https://www.olx.ua/obyavlenie/kvartira-u-morya-v-sovinone-na-dlitelno-s-parkovkoy-6500-grn-IDAE7Ku.html#f049b59c4c, Киевский,Вчера 14:23,6 500 грн.
1к.кв. Мясоедовская Б Хмельницкого,https://www.olx.ua/obyavlenie/1k-kv-myasoedovskaya-b-hmelnitskogo-IDATB5C.html#f049b59c4c, Приморский,Вчера 14:23,8 000 грн.
сдается комната в квартире на Таирова для парня,https://www.olx.ua/obyavlenie/sdaetsya-komnata-v-kvartire-na-tairova-dlya-parnya-IDATA3E.html#f049b59c4c, Киевский,Вчера 14:17,"3 000 грн.

Договорная"
Студия и спальня в новострое на Генуэзской Аркадия,https://www.olx.ua/obyavlenie/studiya-i-spalnya-v-novostroe-na-genuezskoy-arkadiya-IDAKsOv.html#f049b59c4c;promoted, Приморский,Вчера 14:17,13 201 грн.
2к квартира Разумовская ЖК «Усадьба Разумовского»,https://www.olx.ua/obyavlenie/2k-kvartira-razumovskaya-zhk-usadba-razumovskogo-IDATAN8.html#f049b59c4c, Приморский,Вчера 14:14,12 673 грн.
Гагарина: сдам двухэтажную современную квартиру в тихом уголке города!,https://www.olx.ua/obyavlenie/gagarina-sdam-dvuhetazhnuyu-sovremennuyu-kvartiru-v-tihom-ugolke-goroda-IDA8y7o.html#f049b59c4c;promoted, Приморский,Вчера 14:12,13 201 грн.
"Сдам 3х комн. квартиру, ЖК ""Чудогород""",https://www.olx.ua/obyavlenie/sdam-3h-komn-kvartiru-zhk-chudogorod-IDATAnk.html#f049b59c4c, Приморский,Вчера 14:10,13 000 грн.
Аренда 2-к. кв. М. Арнаут./Преображенская,https://www.olx.ua/obyavlenie/arenda-2-k-kv-m-arnaut-preobrazhenskaya-IDATAkE.html#f049b59c4c, Приморский,Вчера 14:09,8 000 грн.
СРОЧНО Cдам квартиру 3 комнаты 150 м.кв. Шампанский пер ЕСТЬ ВИДЕО,https://www.olx.ua/obyavlenie/srochno-cdam-kvartiru-3-komnaty-150-m-kv-shampanskiy-per-est-video-IDA0SEi.html#f049b59c4c, Киевский,Вчера 14:05,"26 138 грн.

Договорная"
"Сдам однокомнатную квартиру, Альтаир/Люстдорфская, новострой",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-altair-lyustdorfskaya-novostroy-IDATzLC.html#f049b59c4c, Киевский,Вчера 14:03,8 000 грн.
Сдам 2-х комнатную квартиру на Кленовой 2-А на ЛЕТО( ОТ ХОЗЯИНА),https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-klenovoy-2-a-na-leto-ot-hozyaina-IDALia2.html#f049b59c4c, Приморский,Вчера 13:59,11 000 грн.
Сдам совр. комнату в частном доме. ул.Долгая /пер. Тепличный. Таирова.,https://www.olx.ua/obyavlenie/sdam-sovr-komnatu-v-chastnom-dome-ul-dolgaya-per-teplichnyy-tairova-IDATzaE.html#f049b59c4c, Киевский,Вчера 13:56,4 000 грн.
Сдам 1-ком квартиру в новом доме - Ул . Дюковская,https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-v-novom-dome-ul-dyukovskaya-IDATyTC.html#f049b59c4c, Приморский,Вчера 13:53,"8 500 грн.

Договорная"
Сдам 3-комн квартиру на любой срок в Одессе на Балковской,https://www.olx.ua/obyavlenie/sdam-3-komn-kvartiru-na-lyuboy-srok-v-odesse-na-balkovskoy-IDAPyJI.html#f049b59c4c, Приморский,Вчера 13:44,12 000 грн.
"Аренда 1 комнатной квартиры, улица Большая Арнаудская 65, собственник",https://www.olx.ua/obyavlenie/arenda-1-komnatnoy-kvartiry-ulitsa-bolshaya-arnaudskaya-65-sobstvennik-IDATy1C.html#f049b59c4c, Приморский,Вчера 13:44,4 500 грн.
Сдам 1комн.кв.на 2 Заставе ул.Новикова,https://www.olx.ua/obyavlenie/sdam-1komn-kv-na-2-zastave-ul-novikova-IDxi7JU.html#f049b59c4c, Малиновский,Вчера 13:41,5 500 грн.
Сдам 1 комнатную квартиру на Бочарова Днепропетровская дорога,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-na-bocharova-dnepropetrovskaya-doroga-IDATxhg.html#f049b59c4c, Суворовский,Вчера 13:38,"5 000 грн.

Договорная"
"2 комн - ЦЕНТР, Дерибасовская, 16 - долгосрочно !!! Без посредника !!!",https://www.olx.ua/obyavlenie/2-komn-tsentr-deribasovskaya-16-dolgosrochno-bez-posrednika-IDgKCI6.html#3b36683b17;promoted, Приморский,3  июль,"6 999 грн.

Договорная"
Гагарина: сдам двухэтажную современную квартиру в тихом уголке города!,https://www.olx.ua/obyavlenie/gagarina-sdam-dvuhetazhnuyu-sovremennuyu-kvartiru-v-tihom-ugolke-goroda-IDA8y7o.html#3b36683b17;promoted, Приморский,Вчера 14:12,13 201 грн.
Студия и спальня в новострое на Генуэзской Аркадия,https://www.olx.ua/obyavlenie/studiya-i-spalnya-v-novostroe-na-genuezskoy-arkadiya-IDAKsOv.html#3b36683b17;promoted, Приморский,Вчера 14:17,13 201 грн.
Сдам 1ком квартиру 5 минут от центра. Новострой! Первая сдача!,https://www.olx.ua/obyavlenie/sdam-1kom-kvartiru-5-minut-ot-tsentra-novostroy-pervaya-sdacha-IDAFk8M.html#3b36683b17;promoted, Малиновский,Вчера 10:39,11 000 грн.
Сдам 1ком. ул.Маяковского самый центр 700гр.,https://www.olx.ua/obyavlenie/sdam-1kom-ul-mayakovskogo-samyy-tsentr-700gr-IDAxfzy.html#3b36683b17;promoted, Приморский,4  июль,700 грн.
"Сдам кухня гостиная+спальня ЖК 28 жемчужина, 10 ст. Фонтана",https://www.olx.ua/obyavlenie/sdam-kuhnya-gostinaya-spalnya-zhk-28-zhemchuzhina-10-st-fontana-IDAPOY0.html#3b36683b17;promoted, Приморский,Вчера 13:31,13 201 грн.
Сдам комнату на Черемушках для девушки,https://www.olx.ua/obyavlenie/sdam-komnatu-na-cheremushkah-dlya-devushki-IDATvrq.html#3b36683b17, Малиновский,Вчера 13:27,2 800 грн.
Сдам комнату | Королева/Линия 13-го трамвая,https://www.olx.ua/obyavlenie/sdam-komnatu-koroleva-liniya-13-go-tramvaya-IDATv6s.html#3b36683b17, Малиновский,Вчера 13:22,"1 800 грн.

Договорная"
Сдам долгосрочно квартиру  Глушко/Королева 1-к квартира,https://www.olx.ua/obyavlenie/sdam-dolgosrochno-kvartiru-glushko-koroleva-1-k-kvartira-IDAC9zY.html#3b36683b17;promoted, Киевский,Вчера 13:21,6 200 грн.
"Сдам на 2-3 месяца,2-ух комнатную квартиру от хозяина.",https://www.olx.ua/obyavlenie/sdam-na-2-3-mesyatsa-2-uh-komnatnuyu-kvartiru-ot-hozyaina-IDxlh1A.html#3b36683b17;promoted, Приморский,3  июль,10 000 грн.
